25/05-14:04:53	|	SENT: example@mail.com
25/05-15:19:45	|	FAIL: kanye@west.com 	 ERROR: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 4fb4d7f45d1cf-6021031bb84sm8250288a12.50 - gsmtp')
25/05-15:51:14	|	FAIL: testaddress@gmail.com 	 ERROR: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials a640c23a62f3a-ad5d2340d44sm493344566b.142 - gsmtp')
25/05-15:51:14	|	FAIL: kanye@west.com 	 ERROR: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials a640c23a62f3a-ad52d04e674sm1518381266b.24 - gsmtp')
25/05-21:19:35	|	FAIL: testaddress@gmail.com 	 ERROR: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 46e09a7af769-734f6b60081sm3686632a34.56 - gsmtp')
25/05-21:19:36	|	FAIL: kanye@west.com 	 ERROR: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 46e09a7af769-734f6b60081sm3686648a34.56 - gsmtp')
26/05-10:24:54	|	FAIL: testaddress@gmail.com 	 ERROR: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials a640c23a62f3a-ad52d080539sm1650474166b.66 - gsmtp')
26/05-10:24:55	|	FAIL: kanye@west.com 	 ERROR: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials a640c23a62f3a-ad52d4383d6sm1647521466b.102 - gsmtp')
26/05-10:46:50	|	FAIL: testaddress@gmail.com 	 ERROR: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 4fb4d7f45d1cf-6041b4f8fe9sm2687422a12.11 - gsmtp')
26/05-10:46:51	|	FAIL: kanye@west.com 	 ERROR: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials a640c23a62f3a-ad52d490a30sm1611835966b.127 - gsmtp')

26/05-10:48:10	|	FAIL: testaddress@gmail.com 	 ERROR: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 4fb4d7f45d1cf-602c30fb1f1sm3575572a12.21 - gsmtp')
26/05-10:48:10	|	FAIL: kanye@west.com 	 ERROR: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials a640c23a62f3a-ad52d2779efsm1638192566b.77 - gsmtp')

26/05-10:49:41	|	FAIL: testaddress@gmail.com 	 ERROR: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials a640c23a62f3a-ad52d047c25sm1620245966b.28 - gsmtp')
26/05-10:49:42	|	FAIL: kanye@west.com 	 ERROR: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials a640c23a62f3a-ad52d06dfa4sm1651938466b.57 - gsmtp')

26/05-10:51:39	|	FAIL: testaddress@gmail.com 	 ERROR: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials a640c23a62f3a-ad52d04b096sm1642703666b.33 - gsmtp')
26/05-10:51:39	|	FAIL: kanye@west.com 	 ERROR: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials a640c23a62f3a-ad52d4cbe90sm1626867866b.165 - gsmtp')

26/05-10:52:18	|	FAIL: testaddress@gmail.com 	 ERROR: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials a640c23a62f3a-ad52d4cafddsm1624934366b.164 - gsmtp')
26/05-10:52:19	|	FAIL: kanye@west.com 	 ERROR: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 4fb4d7f45d1cf-6044e95c32dsm2780828a12.44 - gsmtp')

26/05-10:53:37	|	FAIL: testaddress@gmail.com 	 ERROR: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials a640c23a62f3a-ad52d490794sm1647579166b.131 - gsmtp')
26/05-10:53:38	|	FAIL: kanye@west.com 	 ERROR: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials a640c23a62f3a-ad52d04f263sm1629759466b.1 - gsmtp')

26/05-13:24:45 	 | 	 FAIL: testaddress@gmail.com 	 ERROR: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials a640c23a62f3a-ad52d06dc99sm1664371466b.62 - gsmtp')
